id_dog_food,source,name_product,description,ingredients,breed_size,life_stage,food_form,flavour,category,calories,moisture,protein,fat,carbohydrate,crude_fibre,crude_ash,soluble_fibre,total_dietary_fiber,insoluble_fibre,starch,calcium,phospohorus,potassium,sodium,magnesium,iron,copper,zinc,chloride,sulphur,vitamin_a,vitamin_c,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7,vitamin_b9,vitamin_b12,dha,epa,epa_dha,omega_3,omega_6,linoleic_acid,alpha_linolenic_acid,essential_fatty_acids,taurine,l_arginine,l_lysine,glutamine_glutamate,dl_methionine_l_cystine,bcaa_total,hydroxyproline,beta_carotene,l_carnitine,glucosamine,chondroitin_sulfate
1,https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-kd-with-chicken-canned,k/d kidney care wet dog food original can,kd kidney care wet dog food original can kd kidney care wet dog food original can when dog have damage to kidney tissue the kidney can not perform as well as before like filter and reabsorb nutrient the condition be not reversible but progression may be slow therapeutic food for kidney condition be design to help reduce workload on the kidney enable they to function more effectively dog with decrease kidney function may experience loss of appetite and their food intake might decline hill nutritionist and veterinarian develop hill prescription diet kd clinical nutrition with activbiome kidney defense a proprietary blend of prebiotic show to nourish the gut microbiome to help support kidney function this food have an irresistible taste that your dog will love in fact prescription diet kd be clinically prove nutrition to improve   lengthen quality of life                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       feed only this food it be recommend that advice from a veterinarian be seek before use   extend the period of use recommend time of use initially up to   month   to   week in case of temporary renal insufficiency fresh water should be available at all time   kidney care liver care original  ,"carrot, pork_liver, sunflower_oil, sugar",-,-,wet food,,kidney care,,73.0,4.2,6.8,13.8,0.5,1.4,0.4 %,0.0,0.0,0.0,0.2,0.07,0.2,0.05,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.07,0.121,0.29,1.54,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-ld-canned,l/d wet dog food original,ld wet dog food original ld wet dog food original the liver be your dog large internal organ with many function include metabolising and conversion of nutrient the removal of toxic substance from the blood and the storage of vitamin and mineral the liver have an amazing ability to repair and regenerate itself and nutrition play a vital role in this process hill nutritionist and veterinarian develop prescription diet ld   clinical nutrition to support liver health and help protect vital liver function                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ask your veterinarian for specific feeding instruction for your pet this be only a guide gram be the most accurate form of measurement for good result   gradually transition to this new food for   day or more   exclusively feed the recommend prescription diet dry and wet food   keep fresh water available at all time   have your veterinarian monitor your pet condition   to prevent suffocation keep the packaging out of the reach of pet   child                                                                                                                                                                                                                                                                                                                                                   liver care   original small breed medium breed large breed adult,"sunflower_oil, flaxseed, chicken_broth, egg, corn, soybean",-,-,wet food,,liver care,,74.0,4.9,6.1,12.9,0.7,1.3,,0.0,0.0,0.0,0.18,0.14,0.23,0.05,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.31,1.54,0.0,0.0,0.0,0.03,0.31,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-advanced-fitness-large-breed-lamb-and-rice-dry,adult large breed dry dog food with lamb & rice,adult large breed dry dog food with lamb   rice adult large breed dry dog food with lamb   rice hill science plan large breed adult dog food with lamb   rice be specially formulate to fuel the energy need of large breed dog during the prime of their life key benefit support joint health with glucosamine   chondroitin omegas   vitamin e for beautiful skin   coat high quality lamb and rice for gentle healthy digestion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     adjust feed amount as necessary to maintain optimal weight if you be unsure ask your veterinarian new to this food mix increase amount of your pet new food with decrease amount of the old food over a day period keep fresh water available at all time your pet nutritional need may change as they age ask your vet at every checkup to prevent suffocation keep the packaging out of the reach of pet and child                                                                                                                                                                                                                                                                                                                                                                                    large breed adult dog     year of age    with lamb   rice large breed adult,"sunflower_oil, flaxseed, rice, corn, chicken_fat, lamb, soybean",large,adult,dry food,,"digestive care,musculoskeletal and joint care,skin health",,8.0,21.3,14.2,49.9,1.7,4.9,,0.0,0.0,0.0,0.81,0.66,0.63,0.24,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.52,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-mature-adult-7-plus-active-longevity-medium-with-chicken-dry,medium mature adult 7+ dog food with chicken dry bag,medium mature adult   dog food with chicken dry bag medium mature adult   dog food with chicken dry bag hill science plan mature adult medium dog food with chicken be formulate for specific age need provide easytodigest nutrition with a synergistic blend of ingredient to help support energy   activity level key benefit omegas   vitamin e for beautiful skin   coat balanced mineral for heart   kidney health highquality protein for lean muscle adjust feed amount as necessary to maintain optimal weight if you be unsure ask your veterinarian new to this food mix increase amount of your pet new food with decrease amount of the old food over a day period keep fresh water available at all time your pet nutritional need may change as they age ask your vet at every checkup to prevent suffocation keep the packaging out of the reach of pet and child                                                                                                                                                                                                                                                                                                                                                                                    mature adult dog   year of age    with chicken medium breed senior,"turkey, sunflower_oil, flaxseed, chicken, beet, wheat, corn, chicken_fat",medium,senior,dry food,,aging care,,9.0,17.1,14.0,53.9,1.9,4.6,,0.0,0.0,0.0,0.7,0.52,0.72,0.23,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,2.91,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-td-mini-dry,t/d mini dog food,td mini dog food td mini dog food hill prescription diet td small bite dry dog food be clinically show to reduce plaque stain   tartar buildup and clean up to the gum line in small dog it work like a toothbrush dental floss and mouthwash all in one and be formulate as a complete and balanced nutritional solution for your dog daily health regiman the kibble contain clinically prove triple action fiber matrix technology to remove plaque   tartar buildup the special matrix of fiber scrub the tooth to remove plaque which helps freshen breath and whiten tooth the large kibble size shape and texture clean the tooth to the gum line to promote healthy gum and tooth hill nutritionist   veterinarian develop prescription diet td small bite clinical nutrition to promote healthy gum and tooth and support your dog overall health the kibble size be design to meet the need of your small dog hill prescription diet td small bite dry dog food be accept as the only therapeutic nutrition for prove reduction in buildup of both plaque   tartar in small breed dog by veterinary oral health council vohc                                                                                                                                                                                                                           feed only this food it be recommend that a veterinarians opinion be seek before use   extend the period of use feed the correct daily amount show accord to dog size adjust the amount to maintain optimum weight or as advise by your veterinary surgeon the amount may be divide into   mealsday fresh water should be available at all time   dental care digestive care with chicken small breed medium breed large breed adult senior       ,"carrot, sunflower_oil, rice, egg, chicken",small,-,dry food,,dental care,,8.0,16.1,15.2,47.1,9.6,3.6,,0.0,0.0,0.0,0.53,0.41,0.6,0.19,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.25,3.0,0.0,0.0,0.0,0.11,1.03,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-puppy-healthy-development-medium-chicken-dry,medium puppy food,medium puppy food medium puppy food hill science plan medium puppy dog food with chicken be carefully formulate for the developmental need of puppy so they get the good start in life   grow to their full potential                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           adjust feed amount as necessary to maintain optimal weight if you be unsure ask your veterinarian new to this food mix increase amount of your pet new food with decrease amount of the old food over a day period keep fresh water available at all time your pet nutritional need may change as they age ask your vet at every checkup to prevent suffocation keep the packaging out of the reach of pet and child                                                                                                                                                                                                                                                                                                                                                                                    puppie up to   year old and pregnant or nursing dog    with chicken medium breed puppypregnantnursing,"barley, turkey, brown_rice, flaxseed, sunflower_oil, beet, salmon_oil, rice, chicken, corn, oat, chicken",medium,puppy,dry food,,puppy care,,8.0,27.3,17.8,37.2,1.7,7.5,,0.0,0.0,0.0,1.35,1.06,0.84,0.47,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.55,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-dd-duck-and-rice-dry,d/d food sensitivities dry dog food with duck & rice bag,dd food sensitivity dry dog food with duck   rice bag dd food sensitivity dry dog food with duck   rice bag there can be a variety of reason for a dog itchy skin condition include sensitivity to food the good news be most pet with these skin condition can benefit simply by eat the right food hill nutritionist   veterinarian develop prescription diet dd dietetic pet food specially formulate to support dog with food sensitivity in fact dd be clinically prove nutrition to help avoid adverse food reaction                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ask your veterinarian for specific feeding instruction for your pet this be only a guide gram be the most accurate form of measurement in case you be use hill measure cup please refer to here   for good result   gradually transition to this new food for   day or more   exclusively feed the recommend prescription diet dry and wet food   keep fresh water available at all time   have your veterinarian monitor your pet condition   to prevent suffocation keep the packaging out of the reach of pet   child                                                                                                                                                                                                                                                                                 skin care digestive care food sensitivity                                            with duck   rice small breed medium breed large breed adult senior       ,"rice, duck, sunflower_oil, carrot",-,-,dry food,,"food sensitivity,skin health",,8.0,15.1,14.3,56.3,1.2,5.1,,0.0,0.0,0.0,0.88,0.61,0.66,0.33,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.195,0.0,0.68,3.08,2.93,0.0,3.76,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-advanced-fitness-large-breed-with-chicken-dry,adult large breed dry dog food with chicken,adult large breed dry dog food with chicken adult large breed dry dog food with chicken hill science plan large breed adult dog food with chicken be specially formulate to fuel the energy need of large breed dog during the prime of their life make with high quality easytodig ingredient key benefit support joint health with glucosamine   chondroitin omegas   vitamin e for beautiful skin   coat highquality protein for lean muscle                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        adjust feed amount as necessary to maintain optimal weight if you be unsure ask your veterinarian new to this food mix increase amount of your pet new food with decrease amount of the old food over a day period keep fresh water available at all time your pet nutritional need may change as they age ask your vet at every checkup to prevent suffocation keep the packaging out of the reach of pet and child                                                                                                                                                                                                                                                                                                                                                                                    large breed adult dog     year of age    with chicken large breed adult,"turkey, sunflower_oil, flaxseed, chicken, beet, wheat, corn, chicken_fat, soybean",large,adult,dry food,,"musculoskeletal and joint care,skin health",,9.0,20.9,14.1,49.9,1.8,4.8,,0.0,0.0,0.0,0.71,0.59,0.72,0.27,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-mature-adult-7-plus-active-longevity-medium-lamb-and-rice-dry,mature adult medium dog food,mature adult medium dog food mature adult medium dog food hill science plan mature adult medium dog food with lamb   rice be formulate for specific age need provide easytodigest nutrition with a synergistic blend of ingredient to help support energy   activity level key benefit omegas   vitamin e for beautiful skin   coat high quality lamb   rice for gentle healthy digestion balanced mineral for heart   kidney health                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         adjust feed amount as necessary to maintain optimal weight if you be unsure ask your veterinarian new to this food mix increase amount of your pet new food with decrease amount of the old food over a day period keep fresh water available at all time your pet nutritional need may change as they age ask your vet at every checkup to prevent suffocation keep the packaging out of the reach of pet and child                                                                                                                                                                                                                                                                                                                                                                                    mature adult dog   year of age    with lamb   rice medium breed senior,"flaxseed, sunflower_oil, beet, rice, wheat, corn, chicken_fat, lamb, soybean",medium,senior,dry food,,aging care,,8.0,17.2,13.7,54.0,2.3,4.8,,0.0,0.0,0.0,0.76,0.6,0.75,0.16,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,1.16,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,https://www.hillspet.co.uk/dog-food/sp-canine-adult-light-canned,light adult wet dog food with chicken,light adult wet dog food with chicken light adult wet dog food with chicken your dog will love the taste of hill science plan light adult dog food with its soft smooth texture it have the perfect balance of taste and nutrition for your dog precisely balanced to deliver the appropriate amount of energy to support ideal body weight in adult dog age     key benefit low calorie   lcarnitine help promote ideal body weight satiety control keep your dog satisfied between meal omegas   vitamin e for beautiful skin   coat                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        adjust feed amount as necessary to maintain optimal weight if you be unsure ask your veterinarian new to this food mix increase amount of your pet new food with decrease amount of the old food over a day period keep fresh water available at all time your pet nutritional need may change as they age ask your vet at every checkup to prevent suffocation keep the packaging out of the reach of pet and child                                                                                                                                                                                                                                                                                                                                                                                    adult dog   year of age that require few calorie eg dog that be less active neutered or otherwise prone to weight gain                                               with chicken small breed medium breed large breed adult,"carrot, sunflower_oil, sugar, chicken_broth, rice",-,adult,wet food,,weight management,,76.0,6.6,2.4,10.9,2.9,1.6,,0.0,0.0,0.0,0.2,0.14,0.21,0.08,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-bd-dry,b/d brain ageing care dry dog food with chicken bag,bd brain age care dry dog food with chicken bag bd brain age care dry dog food with chicken bag as dog age many may begin to display undesireable behaviour such as house soiling disrupt sleep pattern forgetfullness and even a decrease in social interaction these behaviour change be often surprising and unnerving to their owner but help your dog can be as easy as feed the right nutrition early and consistently hill prescription diet bd dry dog food be clinically prove nutrition to help fortify their brain against the effect of agerelate decline and improve agerelate behaviour in old dog                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ask your veterinarian for specific feeding instruction for your pet this be only a guide gram be the most accurate form of measurement in case you be use hill measure cup please refer to here   for good result   gradually transition to this new food for   day or more   exclusively feed the recommend prescription diet dry and wet food   keep fresh water available at all time   have your veterinarian monitor your pet condition   to prevent suffocation keep the packaging out of the reach of pet   child                                                                                                                                                                                                                                                                                 age care   with chicken  ,"carrot, flaxseed, sunflower_oil, apple, rice, tuna, chicken",-,-,dry food,,"aging care,nervous system care and stress",,8.0,17.3,13.8,51.8,4.8,4.3,,0.0,0.0,0.0,0.63,0.53,0.7,0.23,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.006,0.0,0.89,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-ud-dry,u/d dry dog food original,ud dry dog food original ud dry dog food original dog need the right balance of mineral to maintain good bladder health excess mineral can encourage the formation of crystal in the urine which can lead to the creation of bladder stone please consult with your veterinarian if your dog be show urinary sign such as frequent urination blood in the urine or other hill nutritionist and veterinarian have develop prescription diet ud clinical nutrition to be specially formulate to help support your dog bladder health                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         feed only this food it be recommend that advice from a veterinarian be seek before use   extend the period of use feed the correct daily amount show accord to dog size adjust amount to maintain optimum weight the amount may be divide into   mealsday recommend time of use reduction of urate stone formation up to   month but lifetime use in case of irreversible disturbance of uric acid metabolism reduction of cystine stone formation initially up to   month fresh water should be available at all time                                                                                                                                                                                                                                                                               urinary care liver care kidney care                                                       original   adult,"carrot, flaxseed, sunflower_oil, chicken_broth, rice, egg",-,-,dry food,,urinary care,,8.0,10.2,18.8,57.9,2.4,3.3,,0.0,0.0,0.0,0.42,0.16,0.57,0.22,0.051,0.0,0.0,0.0,0.52,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.001,0.016,0.53,2.94,0.0,0.0,0.0,0.1,0.0,0.8,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0
