name_feed_ingredient,full_name_ingredient,category_ru
apple,"APPLES,RAW,WITH SKIN",Овощи и фрукты
barley,"BARLEY,PEARLED,RAW",Крупы
beef,"BEEF,BRISKET,WHL,LN,ALL GRDS,RAW",Мясо
beef_fat,"FAT,BEEF TALLOW",Масло и жир
beef_liver,"BEEF,VAR MEATS&BY-PRODUCTS,LIVER,RAW",Мясо
beet,"BEETS,RAW",Овощи и фрукты
brewers_rice,"RICE,WHITE,MEDIUM-GRAIN,RAW,ENR",Крупы
broccoli,"BROCCOLI,RAW",Овощи и фрукты
brown_rice,"RICE,BROWN,MEDIUM-GRAIN,RAW",Крупы
carrot,"CARROTS,RAW",Овощи и фрукты
chicken,"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RAW",Мясо
chicken_fat,"CHICKEN,BROILERS OR FRYERS,FAT,RAW",Масло и жир
chicken_hearts,"CHICKEN,HEART,ALL CLASSES,RAW",Мясо
chicken_liver,"CHICKEN,LIVER,ALL CLASSES,RAW",Мясо
coconut_oil,"VEGETABLE OIL,COCONUT",Масло и жир
corn,"CORN,SWEET,YELLOW,RAW",Крупы
cranberry,"CRANBERRIES,RAW",Овощи и фрукты
duck,"DUCK,DOMESTICATED,MEAT ONLY,RAW",Мясо
duck_liver,"DUCK,DOMESTICATED,LIVER,RAW",Мясо
egg,"EGG,WHOLE,RAW,FRESH",Яйца и молочные продукты
egg_whites,"EGG,WHITE,RAW,FRESH",Яйца и молочные продукты
egg_yolks,"EGG,YOLK,RAW,FRSH",Яйца и молочные продукты
fish_oil,"FISH OIL,COD LIVER",Масло и жир
flaxseed,"SEEDS,FLAXSEED",Зелень и специи
gelatin,"GELATINS,DRY PDR,UNSWTND",Зелень и специи
ginger,"GINGER,GROUND",Зелень и специи
green_bean,"BEANS,SNAP,GREEN,RAW",Овощи и фрукты
green_beans,"BEANS,SNAP,GREEN,RAW",Овощи и фрукты
green_pea,"PEAS,GREEN,RAW",Овощи и фрукты
kelp,"SEAWEED,KELP,RAW,KELP,RAW",Зелень и специи
lamb,"LAMB,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED,RAW",Мясо
oat,OATS,Крупы
parsley,"PARSLEY,RAW",Зелень и специи
parsnip,"PARSNIPS,RAW",Зелень и специи
pea,"PEAS,GREEN,RAW",Овощи и фрукты
pork,"PORK,FRSH,LOIN,WHL,LN,RAW",Мясо
pork_liver,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,LIVER,RAW",Мясо
potato,"POTATO,FLESH & SKN,RAW",Овощи и фрукты
potato,"POTATO,FLESH & SKN,RAW",Овощи и фрукты
pumpkin,"PUMPKIN,RAW",Овощи и фрукты
rice,"RICE,WHITE,MEDIUM-GRAIN,RAW,ENR",Крупы
rosemary,"ROSEMARY,FRESH",Зелень и специи
salt,"SALT,TABLE","Вода, соль и сахар"
sorghum,SORGHUM,Крупы
spinach,"SPINACH,RAW",Зелень и специи
sunflower_oil,"OIL,VEG,SUNFLOWER,LINOLEIC,(APPROX. 65%)",Масло и жир
thyme,"THYME,FRSH",Зелень и специи
turkey,"TURKEY,ALL CLASSES,MEAT ONLY,RAW",Мясо
turkey_liver,"TURKEY,LIVER,ALL CLASSES,RAW",Мясо
water,"WATER,BTLD,GENERIC","Вода, соль и сахар"
wheat,"WHEAT,SOFT RED WINTER",Крупы
zucchini,"SQUASH,SMMR,ALL VAR,RAW",Овощи и фрукты
