name_in_database,name_ru
calories_kcal,"Калории, ккал"
moisture_per,"Влага, %"
protein_per,"Белки, %"
carbohydrate_per,"Углеводы, %"
fats_per,"Жиры, %"
ash_g,"Зола, г"
fiber_g,"Клетчатка, г"
cholesterol_mg,"Холестерин, мг"
total_sugar_g,"Сахар общее, г"
calcium_mg,"Кальций, мг"
phosphorus_mg,"Фосфор, мг"
magnesium_mg,"Магний, мг"
sodium_mg,"Натрий, мг"
potassium_mg,"Калий, мг"
iron_mg,"Железо, мг"
copper_mg,"Медь, мг"
zinc_mg,"Цинк, мг"
manganese_mg,"Марганец, мг"
selenium_mcg,"Селен, мкг"
iodine_mcg,"Йод, мкг"
choline_mg,"Холин, мг"
vitamin_a_mcg,"Витамин A, мкг"
vitamin_e_mg,"Витамин E, мг"
vitamin_d_mcg,"Витамин Д, мкг"
vitamin_b1_mg,"Витамин В1 (тиамин), мг"
vitamin_b2_mg,"Витамин В2 (рибофлавин), мг"
vitamin_b3_mg,"Витамин В3 (ниацин), мг"
vitamin_b5_mg,"Пантотеновая кислота, мг"
vitamin_b6_mg,"Витамин В6, мг"
vitamin_b9_mcg,"Фолиевая кислота, мкг"
vitamin_b12_mcg,"Витамин В12, мкг"
vitamin_c_mg,"Витамин C, мг"
vitamin_k_mcg,"Витамин K, мкг"
alpha_carotene_mcg,"Альфа-каротин, мкг"
beta_carotene_mcg,"Бета-каротин, мкг"
beta_cryptoxanthin_mcg,"Бета-криптоксантин, мкг"
lutein_zeaxanthin_mcg,"Лютеин и зеаксантин, мкг"
lycopene_mcg,"Ликопин, мкг"
retinol_mcg,"Ретинол, мкг"
linoleic_acid_g,"Линолевая кислота, г"
alpha_linolenic_acid_g,"Альфа-линоленовая кислота, г"
arachidonic_acid_g,"Арахидоновая кислота, г"
epa_g,"Эйкозапентаеновая кислота (ЭПК), г"
dha_g,"Докозагексаеновая кислота (ДГК), г"
